--------------------------------------
Running Speed Benchmark (NPS)...
Time Elapsed:   1000ms
Nodes Expanded: 299504
NPS Score:      299504
--------------------------------------

Starting Tournament: RAVE (1000) vs UCT (0.0)
Games: 20 | Time/Move: 50ms
Build: OPTIMIZED (Memory Pool + TT)
--------------------------------------
GameID,RedPlayer,BluePlayer,Winner,Moves,TTHits
1,RAVE,UCT,Red,27,9866
2,UCT,RAVE,Blue,30,11889
3,RAVE,UCT,Red,29,11381
4,UCT,RAVE,Blue,38,15056
5,RAVE,UCT,Red,33,12274
6,UCT,RAVE,Blue,42,18626
7,RAVE,UCT,Red,31,13525
8,UCT,RAVE,Blue,34,10803
9,RAVE,UCT,Red,39,17902
10,UCT,RAVE,Blue,36,13679
11,RAVE,UCT,Blue,30,10602
12,UCT,RAVE,Blue,42,18026
13,RAVE,UCT,Red,33,13177
14,UCT,RAVE,Red,25,8973
15,RAVE,UCT,Red,25,8819
16,UCT,RAVE,Blue,56,50616
17,RAVE,UCT,Red,29,11091
18,UCT,RAVE,Red,31,12030
19,RAVE,UCT,Red,33,13981
20,UCT,RAVE,Red,25,8917
--------------------------------------
FINAL RESULTS
--------------------------------------
RAVE Wins: 16 (80.00%)
UCT Wins:  4 (20.00%)
