TestTimeConfig,GameNum,Winner,TestAgentTime,BaselineAgentTime,Score,TotalTurns,P1Turns
30000,1,2,11.961,50.112,0.2400325,24,12
30000,2,2,11.953,50.2,0.24003916666666666,24,12
30000,3,2,12.871,55.544,0.23927416666666668,26,13
30000,4,2,12.874,55.652,0.23927166666666666,26,13
30000,5,1,11.927,44.818,0.9900608333333334,23,12
30000,6,1,11.92,44.809,0.9900666666666667,23,12
30000,7,2,13.749,60.847,0.2385425,28,14
30000,8,2,13.744,60.792,0.23854666666666666,28,14
30000,9,2,11.025,44.837,0.2408125,22,11
30000,10,1,11.939,45.021,0.9900508333333333,23,12
30000,11,1,11.947,45.069,0.9900441666666666,23,12
30000,12,1,12.858,50.302,0.989285,25,13
30000,13,2,11.055,44.662,0.2407875,22,11
30000,14,1,11.91,44.853,0.990075,23,12
30000,15,1,11.916,44.863,0.99007,23,12
30000,16,1,14.59,60.786,0.9878416666666667,29,15
30000,17,2,11.962,50.165,0.24003166666666667,24,12
30000,18,2,11.006,44.686,0.24082833333333334,22,11
30000,19,1,10.992,39.539,0.9908399999999999,21,11
30000,20,2,17.124,80.738,0.23573,36,18
30000,21,1,11.913,44.801,0.9900725,23,12
30000,22,1,11.904,44.915,0.99008,23,12
30000,23,1,11.931,44.948,0.9900575,23,12
30000,24,2,12.854,55.452,0.23928833333333333,26,13
30000,25,1,12.849,50.326,0.9892925,25,13
30000,26,1,11.926,44.813,0.9900616666666666,23,12
30000,27,2,11.022,44.676,0.240815,22,11
30000,28,1,16.262,70.978,0.9864483333333334,33,17
30000,29,1,14.571,60.851,0.9878575,29,15
30000,30,2,12.878,55.519,0.23926833333333333,26,13
60000,1,2,19.507,44.774,0.23374416666666667,22,11
60000,2,1,21.548,44.98,0.9820433333333334,23,12
60000,3,1,23.6,50.32,0.9803333333333333,25,13
60000,4,1,23.575,50.519,0.9803541666666666,25,13
60000,5,1,19.431,39.312,0.9838075,21,11
60000,6,1,21.603,44.855,0.9819975,23,12
60000,7,1,25.518,55.55,0.978735,27,14
60000,8,2,23.538,55.569,0.230385,26,13
60000,9,1,21.499,44.889,0.9820841666666666,23,12
60000,10,2,19.508,44.656,0.23374333333333333,22,11
60000,11,2,25.504,60.786,0.22874666666666665,28,14
60000,12,2,23.593,55.508,0.23033916666666668,26,13
60000,13,2,23.544,55.485,0.23038,26,13
60000,14,2,29.426,70.91,0.22547833333333334,32,16
60000,15,2,19.535,44.688,0.23372083333333332,22,11
60000,16,1,27.447,61.058,0.9771275,29,15
60000,17,2,23.588,55.529,0.23034333333333334,26,13
60000,18,2,23.551,55.526,0.23037416666666666,26,13
60000,19,1,21.494,44.894,0.9820883333333333,23,12
60000,20,1,41.415,98.918,0.9654875,45,23
60000,21,2,23.535,55.623,0.2303875,26,13
60000,22,2,23.606,55.651,0.23032833333333333,26,13
60000,23,1,21.475,44.854,0.9821041666666667,23,12
60000,24,1,19.482,39.557,0.983765,21,11
60000,25,2,21.534,50.105,0.232055,24,12
60000,26,2,19.514,44.783,0.23373833333333333,22,11
60000,27,2,19.491,44.681,0.2337575,22,11
60000,28,2,19.44,44.666,0.2338,22,11
60000,29,2,19.467,44.752,0.2337775,22,11
60000,30,2,23.552,55.579,0.23037333333333332,26,13
120000,1,1,36.396,39.433,0.96967,21,11
120000,2,1,40.572,44.861,0.96619,23,12
120000,3,1,40.671,44.974,0.9661075,23,12
120000,4,2,44.96,55.664,0.21253333333333332,26,13
120000,5,2,36.407,44.758,0.21966083333333333,22,11
120000,6,1,40.631,44.937,0.9661408333333333,23,12
120000,7,2,57.255,71.058,0.2022875,32,16
120000,8,1,40.589,44.924,0.9661758333333333,23,12
120000,9,2,44.914,55.559,0.21257166666666666,26,13
120000,10,1,102.816,125.625,0.91432,59,30
120000,11,2,40.76,50.104,0.21603333333333333,24,12
120000,12,1,40.671,45.058,0.9661075,23,12
120000,13,1,79.197,94.61,0.9340025000000001,43,22
120000,14,2,49.217,60.793,0.20898583333333334,28,14
120000,15,2,45.0,55.631,0.2125,26,13
120000,16,1,40.611,44.902,0.9661575,23,12
120000,17,2,36.382,44.967,0.21968166666666666,22,11
120000,18,1,36.328,39.377,0.9697266666666666,21,11
120000,19,2,45.032,55.709,0.21247333333333335,26,13
120000,20,2,36.565,47.957,0.21952916666666666,22,11
120000,21,1,40.695,44.832,0.9660875,23,12
