--------------------------------------
Running Speed Benchmark (NPS)...
Time Elapsed:   1032ms
Nodes Expanded: 276481
NPS Score:      267907
--------------------------------------

Starting Tournament: RAVE (1000) vs UCT (0.0)
Games: 20 | Time/Move: 500ms
Build: UNOPTIMIZED (Standard new/delete)
--------------------------------------
GameID,RedPlayer,BluePlayer,Winner,Moves,TTHits,TotalSimulations,TotalDuration
1,RAVE,UCT,Blue,24,0,3544064,12375
2,UCT,RAVE,Blue,22,0,3463168,11353
3,RAVE,UCT,Red,21,0,3229696,10841
4,UCT,RAVE,Blue,22,0,3385344,11347
5,RAVE,UCT,Red,21,0,3380224,10842
6,UCT,RAVE,Blue,22,0,3454976,11353
7,RAVE,UCT,Red,21,0,3387392,10847
8,UCT,RAVE,Blue,22,0,3330048,11415
9,RAVE,UCT,Red,21,0,3383296,10850
10,UCT,RAVE,Blue,22,0,3433472,11351
11,RAVE,UCT,Red,21,0,3326976,10836
12,UCT,RAVE,Blue,22,0,3409920,11356
13,RAVE,UCT,Red,21,0,3344384,10846
14,UCT,RAVE,Blue,22,0,3381248,11361
15,RAVE,UCT,Red,21,0,3300352,10866
16,UCT,RAVE,Blue,22,0,3403776,11355
17,RAVE,UCT,Red,21,0,3310592,10844
18,UCT,RAVE,Red,33,0,5076992,17027
19,RAVE,UCT,Blue,34,0,5395456,17569
20,UCT,RAVE,Blue,26,0,3909632,13411
--------------------------------------
FINAL RESULTS
--------------------------------------
RAVE Wins: 17 (85.00%)
UCT Wins:  3 (15.00%)
