TestTimeConfig,GameNum,Winner,TestAgentTime,BaselineAgentTime,Score,TotalTurns,P1Turns
30000,1,2,17.092,80.471,0.23575666666666667,22,11
30000,2,1,18.51,80.957,0.984575,23,12
30000,3,2,19.836,96.608,0.23347,26,13
30000,4,2,20.999,103.795,0.23250083333333332,28,14
30000,5,1,18.445,81.087,0.9846291666666667,23,12
30000,6,1,18.455,81.059,0.9846208333333333,23,12
30000,7,2,21.013,103.717,0.23248916666666666,28,14
30000,8,1,18.478,81.022,0.9846016666666666,23,12
30000,9,2,17.066,80.42,0.23577833333333334,22,11
30000,10,1,17.06,72.045,0.9857833333333333,21,11
30000,11,1,17.051,71.84,0.9857908333333334,21,11
30000,12,1,18.459,80.732,0.9846175,23,12
30000,13,1,18.439,81.089,0.9846341666666667,23,12
30000,14,2,19.837,96.545,0.23346916666666667,26,13
30000,15,2,19.807,96.722,0.23349416666666667,26,13
30000,16,1,26.192,131.0,0.9781733333333333,39,20
30000,17,2,19.827,96.783,0.2334775,26,13
30000,18,2,19.822,96.676,0.23348166666666667,26,13
30000,19,2,19.775,96.547,0.23352083333333334,26,13
30000,20,2,21.017,103.873,0.23248583333333334,28,14
30000,21,2,18.531,88.869,0.2345575,24,12
30000,22,1,24.02,116.34,0.9799833333333333,33,17
30000,23,2,22.106,110.291,0.23157833333333333,30,15
30000,24,2,20.99,103.665,0.23250833333333334,28,14
30000,25,2,17.091,80.6,0.2357575,22,11
30000,26,1,17.054,72.177,0.9857883333333333,21,11
30000,27,2,17.16,80.415,0.2357,22,11
30000,28,2,17.06,80.329,0.23578333333333334,22,11
30000,29,1,18.449,81.012,0.9846258333333333,23,12
30000,30,2,19.815,96.51,0.23348750000000001,26,13
60000,1,1,36.097,80.917,0.9699191666666667,23,12
60000,2,1,36.119,81.136,0.9699008333333333,23,12
60000,3,2,39.088,96.58,0.21742666666666666,26,13
60000,4,2,46.458,116.387,0.211285,32,16
60000,5,1,36.149,80.622,0.9698758333333333,23,12
60000,6,2,33.067,80.451,0.22244416666666667,22,11
60000,7,2,44.283,110.173,0.2130975,30,15
60000,8,2,39.054,96.441,0.217455,26,13
60000,9,2,39.114,96.73,0.21740500000000001,26,13
60000,10,2,39.083,96.498,0.21743083333333335,26,13
60000,11,1,32.988,71.86,0.97251,21,11
60000,12,2,39.047,96.367,0.21746083333333333,26,13
60000,13,1,32.883,72.033,0.9725975,21,11
60000,14,2,32.978,80.338,0.22251833333333332,22,11
60000,15,2,38.99,96.573,0.21750833333333333,26,13
60000,16,2,39.016,96.567,0.21748666666666666,26,13
60000,17,2,39.135,96.648,0.2173875,26,13
60000,18,2,33.02,80.443,0.22248333333333334,22,11
60000,19,1,39.06,89.303,0.96745,25,13
60000,20,2,41.733,103.582,0.2152225,28,14
60000,21,2,33.082,80.346,0.22243166666666667,22,11
60000,22,2,39.072,96.609,0.21744,26,13
60000,23,2,39.117,96.673,0.2174025,26,13
60000,24,1,36.026,80.739,0.9699783333333334,23,12
60000,25,1,36.081,80.863,0.9699325,23,12
60000,26,1,36.048,80.924,0.9699599999999999,23,12
60000,27,1,32.98,76.843,0.9725166666666667,21,11
60000,28,2,33.266,84.027,0.22227833333333333,22,11
60000,29,2,39.115,96.666,0.21740416666666668,26,13
60000,30,2,41.829,103.728,0.21514250000000001,28,14
120000,1,2,71.423,88.729,0.19048083333333332,24,12
120000,2,2,71.486,89.105,0.19042833333333334,24,12
120000,3,2,77.73,96.576,0.185225,26,13
120000,4,1,88.279,104.04,0.9264341666666667,29,15
120000,5,2,77.78,96.609,0.18518333333333334,26,13
120000,6,2,77.719,96.825,0.18523416666666667,26,13
120000,7,2,64.952,80.381,0.19587333333333334,22,11
120000,8,2,77.786,96.601,0.18517833333333333,26,13
120000,9,2,65.029,80.423,0.19580916666666667,22,11
120000,10,2,64.964,80.346,0.19586333333333333,22,11
120000,11,2,71.729,88.883,0.19022583333333334,24,12
120000,12,2,77.68,96.521,0.18526666666666666,26,13
120000,13,1,71.395,80.584,0.9405041666666667,23,12
120000,14,1,77.349,89.153,0.9355424999999999,25,13
120000,15,1,64.771,71.996,0.9460241666666667,21,11
120000,16,2,71.714,88.837,0.19023833333333334,24,12
120000,17,1,71.193,80.894,0.9406725,23,12
120000,18,2,64.879,80.323,0.19593416666666666,22,11
120000,19,2,79.627,96.814,0.18364416666666666,26,13
120000,20,1,71.171,81.272,0.9406908333333334,23,12
120000,21,1,77.622,89.445,0.935315,25,13
120000,22,2,97.411,121.793,0.16882416666666666,34,17
120000,23,1,104.456,127.002,0.9129533333333333,37,19
120000,24,1,71.16,80.681,0.9407,23,12
120000,25,2,71.38,88.726,0.19051666666666667,24,12
120000,26,1,71.263,80.58,0.9406141666666666,23,12
120000,27,1,110.057,134.707,0.9082858333333333,41,21
120000,28,1,77.4,89.069,0.9355,25,13
120000,29,1,71.136,80.676,0.94072,23,12
120000,30,2,115.648,144.82,0.1536266666666667,48,24
180000,1,2,96.528,80.561,0.16956,22,11
180000,2,1,106.377,80.694,0.9113525,23,12
180000,3,1,139.586,110.774,0.8836783333333333,31,16
180000,4,1,178.201,147.981,0.8514991666666667,55,28
180000,5,1,106.4,80.726,0.9113333333333333,23,12
180000,6,2,124.738,103.748,0.14605166666666666,28,14
180000,7,1,132.282,104.426,0.8897649999999999,29,15
180000,8,2,116.282,96.605,0.15309833333333334,26,13
180000,9,1,106.495,80.913,0.9112541666666667,23,12
180000,10,1,161.685,130.976,0.8652625,39,20
180000,11,1,106.273,80.749,0.9114391666666667,23,12
180000,12,2,116.488,96.566,0.15292666666666666,26,13
180000,13,1,106.361,81.026,0.9113658333333333,23,12
180000,14,1,145.915,116.434,0.8784041666666667,33,17
180000,15,1,106.322,80.765,0.9113983333333333,23,12
180000,16,1,96.209,72.081,0.9198258333333333,21,11
180000,17,1,106.344,80.875,0.9113800000000001,23,12
180000,18,1,106.272,81.014,0.91144,23,12
180000,19,2,106.805,88.823,0.16099583333333334,24,12
180000,20,2,116.383,96.81,0.15301416666666667,26,13
180000,21,1,106.271,80.9,0.9114408333333334,23,12
180000,22,1,106.42,80.804,0.9113166666666667,23,12
180000,23,1,106.335,80.929,0.9113875,23,12
180000,24,1,151.951,121.873,0.8733741666666667,35,18
180000,25,2,116.085,96.944,0.15326250000000002,26,13
180000,26,2,116.355,96.562,0.1530375,26,13
180000,27,1,106.301,80.75,0.9114158333333333,23,12
180000,28,1,106.465,80.97,0.9112791666666666,23,12
180000,29,1,116.033,89.042,0.9033058333333334,25,13
180000,30,1,161.724,131.056,0.8652299999999999,39,20
240000,1,1,141.748,80.934,0.8818766666666666,23,12
240000,2,1,153.996,89.165,0.87167,25,13
240000,3,1,154.347,89.38,0.8713775,25,13
240000,4,1,186.293,110.669,0.8447558333333334,31,16
240000,5,2,129.195,80.601,0.1423375,22,11
240000,6,2,155.117,96.748,0.12073583333333335,26,13
240000,7,1,221.348,134.818,0.8155433333333333,41,21
240000,8,1,221.272,134.767,0.8156066666666667,41,21
240000,9,1,141.478,81.014,0.8821016666666667,23,12
240000,10,2,128.814,80.502,0.142655,22,11
240000,11,2,176.775,110.422,0.10268749999999999,30,15
240000,12,1,154.262,89.07,0.8714483333333334,25,13
240000,13,1,221.193,134.704,0.8156725,41,21
240000,14,2,155.1,96.63,0.12075,26,13
240000,15,2,166.268,103.812,0.11144333333333334,28,14
240000,16,2,166.404,103.697,0.11133000000000001,28,14
240000,17,1,221.324,134.708,0.8155633333333333,41,21
240000,18,1,141.395,81.177,0.8821708333333333,23,12
240000,19,2,128.825,80.444,0.14264583333333336,22,11
240000,20,2,237.621,147.928,0.05198249999999999,54,27
240000,21,1,141.475,80.796,0.8821041666666667,23,12
240000,22,1,141.848,80.88,0.8817933333333333,23,12
240000,23,1,221.265,134.691,0.8156125000000001,41,21
240000,24,1,128.29,72.089,0.8930916666666666,21,11
240000,25,2,236.606,147.318,0.05282833333333334,52,26
240000,26,1,141.432,81.015,0.88214,23,12
240000,27,1,141.445,80.608,0.8821291666666666,23,12
240000,28,1,128.106,72.048,0.8932450000000001,21,11
240000,29,1,141.439,80.876,0.8821341666666667,23,12
240000,30,1,141.602,80.755,0.8819983333333333,23,12
300000,1,2,160.544,80.559,0.11621333333333334,22,11
300000,2,1,177.402,80.98,0.8521650000000001,23,12
300000,3,1,177.861,81.078,0.8517825,23,12
300000,4,2,291.231,144.877,0.0073074999999999946,48,24
300000,5,2,297.237,147.869,0.002302499999999985,54,27
300000,6,2,297.872,148.191,0.0017733333333333212,56,28
300000,7,2,297.876,148.191,0.0017700000000000216,56,28
300000,8,2,297.882,148.188,0.0017649999999999888,56,28
300000,9,1,219.966,103.574,0.816695,29,15
300000,10,1,219.968,103.581,0.8166933333333334,29,15
300000,11,2,220.266,109.942,0.066445,30,15
300000,12,1,232.052,110.083,0.8066233333333334,31,16
300000,13,1,219.967,103.642,0.8166941666666667,29,15
300000,14,1,232.132,110.087,0.8065566666666667,31,16
300000,15,1,232.071,110.135,0.8066075,31,16
300000,16,1,232.116,110.066,0.80657,31,16
300000,17,1,159.415,71.479,0.8671541666666667,21,11
300000,18,1,159.42,71.483,0.86715,21,11
300000,19,2,220.302,109.941,0.066415,30,15
300000,20,2,220.204,109.953,0.06649666666666665,30,15
300000,21,1,232.116,110.067,0.80657,31,16
300000,22,1,261.842,126.261,0.7817983333333334,37,19
300000,23,1,261.806,126.264,0.7818283333333333,37,19
300000,24,1,261.834,126.302,0.781805,37,19
300000,25,1,261.807,126.269,0.7818275,37,19
300000,26,1,269.552,130.572,0.7753733333333332,39,20
300000,27,1,219.912,103.545,0.81674,29,15
300000,28,1,261.86,126.271,0.7817833333333333,37,19
300000,29,1,232.038,110.066,0.806635,31,16
300000,30,1,219.872,103.528,0.8167733333333334,29,15
