--------------------------------------
Running Speed Benchmark (NPS)...
Time Elapsed:   1001ms
Nodes Expanded: 273409
NPS Score:      273135
--------------------------------------

Starting Tournament: RAVE (1000) vs UCT (0.0)
Games: 20 | Time/Move: 500ms
Build: OPTIMIZED (Memory Pool + TT)
--------------------------------------
GameID,RedPlayer,BluePlayer,Winner,Moves,TTHits,TotalSimulations,TotalDuration
1,RAVE,UCT,Blue,24,0,3614720,12082
2,UCT,RAVE,Blue,50,0,8176640,25072
3,RAVE,UCT,Red,21,0,3350528,10518
4,UCT,RAVE,Blue,22,0,3469312,11023
5,RAVE,UCT,Red,21,0,3416064,10524
6,UCT,RAVE,Blue,22,0,3478528,11032
7,RAVE,UCT,Red,21,0,3294208,10534
8,UCT,RAVE,Blue,22,0,3466240,11025
9,RAVE,UCT,Red,21,0,3401728,10525
10,UCT,RAVE,Blue,22,0,3410944,11024
11,RAVE,UCT,Red,21,0,3382272,10536
12,UCT,RAVE,Blue,22,0,3422208,11027
13,RAVE,UCT,Red,21,0,3335168,10527
14,UCT,RAVE,Blue,22,0,3403776,11042
15,RAVE,UCT,Blue,34,0,5423104,17037
16,UCT,RAVE,Blue,50,0,8118272,25059
17,RAVE,UCT,Red,21,0,3395584,10530
18,UCT,RAVE,Blue,50,0,8198144,25067
19,RAVE,UCT,Red,21,0,3463168,10530
20,UCT,RAVE,Blue,22,0,3522560,11032
--------------------------------------
FINAL RESULTS
--------------------------------------
RAVE Wins: 18 (90.00%)
UCT Wins:  2 (10.00%)
