--------------------------------------
Running Speed Benchmark (NPS)...
Time Elapsed:   1002ms
Nodes Expanded: 351233
NPS Score:      350531
--------------------------------------

Starting Tournament: RAVE (1000) vs UCT (0.0)
Games: 20 | Time/Move: 500ms
Build: OPTIMIZED (Memory Pool + TT)
--------------------------------------
GameID,RedPlayer,BluePlayer,Winner,Moves,TTHits,TotalSimulations,TotalDuration
1,RAVE,UCT,Blue,42,360236,8545280,21032
2,UCT,RAVE,Blue,34,328023,6437888,17039
3,RAVE,UCT,Blue,26,190348,5089280,13024
4,UCT,RAVE,Red,27,207900,5415936,13526
5,RAVE,UCT,Red,25,236491,4752384,12528
6,UCT,RAVE,Red,23,205405,4563968,11522
7,RAVE,UCT,Red,27,205176,5210112,13527
8,UCT,RAVE,Red,21,201492,4139008,10523
9,RAVE,UCT,Red,23,169586,4604928,11536
10,UCT,RAVE,Blue,38,419799,7044096,19034
11,RAVE,UCT,Blue,30,216738,5602304,15028
12,UCT,RAVE,Blue,36,320642,7032832,18035
13,RAVE,UCT,Red,23,191082,4643840,11526
14,UCT,RAVE,Blue,36,336795,7061504,18040
15,RAVE,UCT,Red,25,217582,4981760,12531
16,UCT,RAVE,Red,25,192029,4935680,12523
17,RAVE,UCT,Blue,22,157417,4278272,11021
18,UCT,RAVE,Blue,32,244269,6024192,16035
19,RAVE,UCT,Red,23,212176,4434944,11522
20,UCT,RAVE,Red,29,196050,5743616,14523
--------------------------------------
FINAL RESULTS
--------------------------------------
RAVE Wins: 11 (55.00%)
UCT Wins:  9 (45.00%)
